hub,keyword,path,priority_score
calculators,btw bereken,/calculators/btw-bereken,2
calculators,btw berekenen,/calculators/btw-berekenen,2
calculators,aflossing lening berekenen excel,/calculators/aflossing-lening-berekenen-excel,1
calculators,aflossingstabel lening berekenen excel,/calculators/aflossingstabel-lening-berekenen-excel,1
calculators,annuïtaire lening berekenen excel,/calculators/annuitaire-lening-berekenen-excel,1
calculators,bank lening calculator,/calculators/bank-lening-calculator,1
calculators,belfius lening calculator,/calculators/belfius-lening-calculator,1
calculators,berekenen lening op afbetaling,/calculators/berekenen-lening-op-afbetaling,1
calculators,berekenen van lening,/calculators/berekenen-van-lening,1
calculators,btw berekenen 9,/calculators/btw-berekenen-9,1
calculators,btw berekenen formule,/calculators/btw-berekenen-formule,1
calculators,btw calculator,/calculators/btw-calculator,1
btw,btw nummer aanvragen,/btw/btw-nummer-aanvragen,2
btw,btw nummer controleren,/btw/btw-nummer-controleren,2
btw,btw nummer opzoeken,/btw/btw-nummer-opzoeken,2
btw,btw vies check,/btw/btw-vies-check,2
btw,btw wanneer,/btw/btw-wanneer,2
btw,btw,/btw/btw,2
btw,btw auto,/btw/btw-auto,2
btw,btw belgie,/btw/btw-belgie,2
btw,btw betekenis,/btw/btw-betekenis,2
btw,btw check,/btw/btw-check,2
btw,btw diensten,/btw/btw-diensten,2
btw,btw duitsland,/btw/btw-duitsland,2
btw,btw engels,/btw/btw-engels,2
btw,btw hagra,/btw/btw-hagra,2
btw,btw hoog,/btw/btw-hoog,2
btw,btw kor,/btw/btw-kor,2
btw,btw nederland,/btw/btw-nederland,2
btw,btw nummer,/btw/btw-nummer,2
btw,btw percentage,/btw/btw-percentage,2
btw,btw tarief,/btw/btw-tarief,2
btw,btw terugvragen,/btw/btw-terugvragen,2
btw,btw verlegd,/btw/btw-verlegd,2
btw,btw vrijstelling,/btw/btw-vrijstelling,2
btw,aangifte omzetbelasting wat is dat,/btw/aangifte-omzetbelasting-wat-is-dat,1
btw,btw verlegd wanneer,/btw/btw-verlegd-wanneer,1
btw,btw wanneer 9 of 21,/btw/btw-wanneer-9-of-21,1
btw,btw wanneer betalen,/btw/btw-wanneer-betalen,1
btw,btw wanneer ingevoerd,/btw/btw-wanneer-ingevoerd,1
btw,btw wat betekent dat,/btw/btw-wat-betekent-dat,1
factoring,btw factuur,/factoring/btw-factuur,2
factoring,abn factuur verkopen,/factoring/abn-factuur-verkopen,1
factoring,auto verkopen factuur maken,/factoring/auto-verkopen-factuur-maken,1
factoring,auto verkopen factuur voorbeeld,/factoring/auto-verkopen-factuur-voorbeeld,1
factoring,blue water factoring,/factoring/blue-water-factoring,1
factoring,blue water factoring company,/factoring/blue-water-factoring-company,1
factoring,btw factuur aliexpress,/factoring/btw-factuur-aliexpress,1
other,bmw x1,/other/bmw-x1,2
other,bmw x2,/other/bmw-x2,2
other,bmw x3,/other/bmw-x3,2
other,bmw x4,/other/bmw-x4,2
other,bmw x5,/other/bmw-x5,2
other,bmw x6,/other/bmw-x6,2
other,bmw x7,/other/bmw-x7,2
other,zakelijke lening,/other/zakelijke-lening,2
other,beobank kredietlijn verhogen,/other/beobank-kredietlijn-verhogen,1
other,bkr inlog zakelijk,/other/bkr-inlog-zakelijk,1
rente,actuele rente rekening courant krediet,/rente/actuele-rente-rekening-courant-krediet,0
rente,actuele rente zakelijke lening,/rente/actuele-rente-zakelijke-lening,0
rente,actuele rente zakelijke lening rabobank,/rente/actuele-rente-zakelijke-lening-rabobank,0
rente,zakelijke lening rente,/rente/zakelijke-lening-rente,0
werkkapitaal,werkkapitaal,/werkkapitaal/werkkapitaal,1
liquiditeit,aif lage liquiditeit,/liquiditeit/aif-lage-liquiditeit,1
